"y";"x";"mod";"info";"r2"
"CLAY";"Gamma";"lin";"";0.958
"CLAY";"Gamma";"log";"";0.9616
"CLAY";"Gamma";"exp";"grw_decr";0
"CLAY";"Gamma";"exp";"grw_decr_pot";0
"CLAY";"DEM";"lin";"";0.7117
"CLAY";"DEM";"log";"";0.7117
"CLAY";"ERa";"lin";"";0.8307
"CLAY";"ERa";"log";"";0.8525
"CLAY";"ERa";"exp";"dec_decr";0.8331
"CLAY";"ERa";"exp";"dec_decr_pot";0
"CLAY";"GWI";"lin";"";0.8999
"CLAY";"GWI";"log";"";0.8689
"CLAY";"GWI";"exp";"grw_incr";0.9044
"CLAY";"GWI";"exp";"grw_incr_pot";0
"SILT";"Gamma";"lin";"";0.5652
"SILT";"Gamma";"log";"";0.5744
"SILT";"Gamma";"exp";"grw_decr";0
"SILT";"Gamma";"exp";"grw_decr_pot";0
"SILT";"DEM";"lin";"";0.2218
"SILT";"DEM";"log";"";0.2218
"SILT";"ERa";"lin";"";0.992
"SILT";"ERa";"log";"";0.9858
"SILT";"ERa";"exp";"dec_incr";0
"SILT";"ERa";"exp";"dec_incr_pot";0
"SILT";"GWI";"lin";"";0.9637
"SILT";"GWI";"log";"";0.9797
"SILT";"GWI";"exp";"grw_decr";0
"SILT";"GWI";"exp";"grw_decr_pot";0
"SAND";"Gamma";"lin";"";0.6905
"SAND";"Gamma";"log";"";0.699
"SAND";"Gamma";"exp";"dec_decr";0.7094
"SAND";"Gamma";"exp";"dec_decr_pot";0
"SAND";"DEM";"lin";"";0.338
"SAND";"DEM";"log";"";0.338
"SAND";"ERa";"lin";"";0.9984
"SAND";"ERa";"log";"";0.9999
"SAND";"ERa";"exp";"grw_decr";0
"SAND";"ERa";"exp";"grw_decr_pot";0
"SAND";"GWI";"lin";"";0.9962
"SAND";"GWI";"log";"";0.9998
"SAND";"GWI";"exp";"dec_decr";0
"SAND";"GWI";"exp";"dec_decr_pot";0
