"y";"x";"mod";"info";"r2"
"CLAY";"Gamma";"lin";"";0.724
"CLAY";"Gamma";"log";"";0.7293
"CLAY";"Gamma";"exp";"dec_decr";0.7356
"CLAY";"Gamma";"exp";"dec_decr_pot";0
"CLAY";"DEM";"lin";"";0.9787
"CLAY";"DEM";"log";"";0.9791
"CLAY";"ERa";"lin";"";0.9805
"CLAY";"ERa";"log";"";0.991
"CLAY";"ERa";"exp";"grw_decr";0
"CLAY";"ERa";"exp";"grw_decr_pot";0
"CLAY";"GWI";"lin";"";0.9763
"CLAY";"GWI";"log";"";0.9579
"CLAY";"GWI";"exp";"dec_incr";0
"CLAY";"GWI";"exp";"dec_incr_pot";0
"SILT";"Gamma";"lin";"";0.9863
"SILT";"Gamma";"log";"";0.9877
"SILT";"Gamma";"exp";"grw_decr";0
"SILT";"Gamma";"exp";"grw_decr_pot";0
"SILT";"DEM";"lin";"";0.6974
"SILT";"DEM";"log";"";0.6988
"SILT";"ERa";"lin";"";0.915
"SILT";"ERa";"log";"";0.8884
"SILT";"ERa";"exp";"dec_incr";0
"SILT";"ERa";"exp";"dec_incr_pot";0
"SILT";"GWI";"lin";"";0.9229
"SILT";"GWI";"log";"";0.9484
"SILT";"GWI";"exp";"grw_decr";0
"SILT";"GWI";"exp";"grw_decr_pot";0
"SAND";"Gamma";"lin";"";0.9977
"SAND";"Gamma";"log";"";0.9971
"SAND";"Gamma";"exp";"dec_incr";0
"SAND";"Gamma";"exp";"dec_incr_pot";0
"SAND";"DEM";"lin";"";0.5379
"SAND";"DEM";"log";"";0.5394
"SAND";"ERa";"lin";"";0.8022
"SAND";"ERa";"log";"";0.7654
"SAND";"ERa";"exp";"grw_incr";0.8591
"SAND";"ERa";"exp";"grw_incr_pot";0
"SAND";"GWI";"lin";"";0.8137
"SAND";"GWI";"log";"";0.8525
"SAND";"GWI";"exp";"dec_decr";0.8673
"SAND";"GWI";"exp";"dec_decr_pot";0
